,0,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF,Film_Result_X [mm],Zoom_Result_X [mm], Zoom_Result_Y [mm]
8,2,5.0,4.6,0.4,-0.1,5.4,4.9,5.5,6.1,5.5,3.5,0.0,0.0,0.0
9,2,4.9,4.6,0.3,-0.2,5.4,4.9,5.6,6.2,5.4,3.55,0.006,0.0,0.0
10,2,5.2,4.6,0.3,-0.1,5.4,4.9,5.8,6.4,5.5,3.2,0.004,0.0,0.0
11,1,5.04,4.46,0.36,-0.08,5.3,4.84,5.86,6.44,5.44,3.3600000000000003,0.0,0.0,0.0
12,2,5.133333333333333,4.466666666666667,0.3,-0.0666666666666666,5.3,4.9,5.8,6.2,5.633333333333333,3.3833333333333333,-0.006,0.0,0.0
13,2,5.15,4.6,0.35,-0.15,5.35,5.05,5.6,6.050000000000001,5.8,3.4,-0.007,0.0,0.0
14,2,5.2,4.466666666666666,0.3,-0.1,5.366666666666667,4.933333333333334,5.366666666666667,5.966666666666666,5.7,3.4333333333333336,0.0,0.0,0.0
15,2,5.0,4.35,0.3,-0.1,5.3,5.0,5.3,5.85,5.5,3.325,-0.007,0.0,0.0
16,2,4.966666666666667,4.466666666666667,0.3,-0.1,5.233333333333333,4.9,5.333333333333333,5.933333333333334,5.5,3.4500000000000006,-0.004,0.0,0.0
17,2,5.05,4.55,0.3,-0.1,5.45,4.95,5.55,5.9,5.55,3.325,0.006,0.0,0.0
18,1,5.18,4.46,0.32,-0.12,5.34,5.06,5.94,6.3,5.36,3.41,0.022,0.0,0.0
19,2,4.933333333333334,4.433333333333334,0.3333333333333333,-0.0666666666666666,5.266666666666667,5.0,6.033333333333334,6.3,5.566666666666666,3.5,0.018,0.0,0.0
20,2,5.15,4.6,0.35,-0.1,5.35,4.95,5.85,6.2,5.75,3.55,0.004,0.0,0.0
21,2,5.166666666666667,4.5,0.3666666666666667,-0.1,5.466666666666666,5.066666666666666,5.566666666666666,6.033333333333334,5.666666666666667,3.4333333333333336,-0.011,0.0,0.0
22,2,5.15,4.3,0.3,-0.1,5.3,5.05,5.5,5.95,5.45,3.5,-0.017,0.0,0.0
23,2,5.1,4.4,0.3333333333333333,-0.1,5.333333333333333,4.866666666666667,5.366666666666667,5.833333333333333,5.4,3.5499999999999994,0.0,0.0,0.0
24,2,5.15,4.6,0.35,-0.15,5.4,5.1,5.3,5.9,5.6,3.35,0.0,0.0,0.0
25,2,4.933333333333334,4.566666666666666,0.3,-0.1666666666666666,5.4,4.933333333333334,5.6000000000000005,6.066666666666666,5.466666666666666,3.516666666666667,0.0,0.0,0.0
26,2,5.050000000000001,4.449999999999999,0.4,-0.1,5.3,4.95,5.85,6.25,5.4,3.325,0.0,0.0,0.0
27,1,4.94,4.48,0.32,-0.14,5.279999999999999,4.94,6.0200000000000005,6.36,5.64,3.44,0.0,0.0,0.0
28,2,5.0,4.566666666666666,0.4000000000000001,-0.0666666666666666,5.4,5.066666666666666,5.766666666666667,6.3,5.7,3.333333333333333,-0.013,0.0,0.0
29,2,4.95,4.4,0.4,-0.1,5.35,4.949999999999999,5.55,6.25,5.550000000000001,3.375,-0.013,0.0,0.0
30,2,5.0,4.433333333333334,0.3,-0.1,5.333333333333333,4.9,5.366666666666667,6.0,5.366666666666667,3.483333333333333,-0.005,0.0,0.0
31,2,4.9,4.6,0.35,-0.15,5.4,5.0,5.449999999999999,5.9,5.449999999999999,3.35,0.0,0.0,0.0
32,2,5.066666666666666,4.566666666666666,0.3,-0.1333333333333333,5.5,5.0,5.433333333333334,5.733333333333333,5.4,3.4166666666666665,0.0,0.0,0.0
33,2,5.0,4.5,0.35,-0.1,5.4,4.9,5.55,6.0,5.35,3.45,0.0,0.0,0.0
34,1,5.12,4.44,0.3399999999999999,-0.1,5.32,4.9,5.92,6.32,5.5,3.43,0.008,0.0,0.0
35,2,5.066666666666666,4.5,0.3333333333333333,-0.1666666666666666,5.466666666666666,5.033333333333333,6.033333333333334,6.233333333333333,5.8,3.45,0.022,0.0,0.0
36,2,5.2,4.6,0.35,-0.1,5.4,5.05,5.9,6.2,5.65,3.325,0.004,0.0,0.0
37,2,4.966666666666666,4.366666666666667,0.3666666666666667,-0.1,5.3,4.866666666666667,6.033333333333334,6.066666666666666,5.533333333333334,3.483333333333333,-0.012,0.0,0.0
38,2,4.95,4.6,0.3,-0.1,5.4,4.9,5.55,5.7,5.550000000000001,3.475,-0.011,0.0,0.0
39,2,5.0,4.566666666666666,0.3666666666666667,-0.0666666666666666,5.433333333333334,4.933333333333334,5.599999999999999,5.9,5.5,3.483333333333333,0.014,0.0,0.0
40,2,5.1,4.6,0.35,-0.15,5.45,5.0,5.45,5.95,5.3,3.45,0.0,0.0,0.0
41,1,4.96,4.46,0.3399999999999999,-0.12,5.36,4.9,5.58,5.98,5.5,3.41,0.0,0.0,0.0
