Date : 2022/09/08 (THU)
Time : 10:05:04
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  446.00  0.00921    446.00  0.00000  
  447.00  0.01360    447.00  0.00000  
  448.00  0.01201    448.00  0.00000  
  449.00  0.01199    449.00  0.00000  
  450.00  0.00000    450.00  0.00000  
  451.00 -0.00714    451.00  0.00000  
  452.00 -0.01109    452.00  0.00000  
  453.00 -0.00880    453.00  0.00000  
  454.00 -0.00390    454.00  0.00000  
  455.00  0.00000    455.00  0.00000  
  456.00  0.00000    456.00  0.00000  
  457.00  0.00000    457.00  0.00000  
  458.00 -0.01248    458.00  0.00000  
  459.00 -0.00502    459.00  0.00000  
  460.00 -0.00378    460.00  0.00000  
  461.00  0.00000    461.00  0.00000  
  462.00  0.00000    462.00  0.00000  
  463.00  0.00000    463.00  0.00000  
  464.00 -0.01389    464.00  0.00000  
  465.00  0.05191    465.00  0.00000  
  466.00 -0.06542    466.00  0.00000  
  467.00  0.00725    467.00  0.00000  
